Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
8/8/2018,6305.799805,6746.850098,6226.220215,6746.850098,5064430000,235311,1.11E+11,46432457.33,5.95E+12,0.81295779
8/9/2018,6568.22998,6625.72998,6249.069824,6305.560059,4267040000,222326,1.10E+11,44066472.25,5.95E+12,0.804355664
8/10/2018,6184.709961,6591.259766,6124.52002,6571.419922,4528680000,226148,1.11E+11,52051671.92,5.95E+12,0.792378119
8/11/2018,6295.72998,6455.740234,6109.029785,6185.790039,4047850000,192438,1.07E+11,52376369.9,6.20E+12,0.611510918
8/12/2018,6322.689941,6409.850098,6237.5,6283.649902,5665250000,165044,1.09E+11,49230273.08,6.39E+12,0.584546742
8/13/2018,6297.569824,6537.049805,6225.720215,6341.359863,4083980000,222229,1.09E+11,47642199.75,6.39E+12,0.906496873
8/14/2018,6199.709961,6287.939941,5971.049805,6287.660156,5301700000,247622,1.04E+11,43195594.44,6.39E+12,1.011792919
8/15/2018,6308.52002,6588.490234,6221.419922,6221.419922,4895450000,246066,1.09E+11,51135961.07,6.39E+12,0.791067155
8/16/2018,6334.72998,6473.5,6276.410156,6294.22998,4328420000,232335,1.09E+11,50183117.07,6.39E+12,0.761947316
8/17/2018,6580.629883,6582.5,6324.970215,6340.910156,4992990000,233794,1.12E+11,48277429.08,6.39E+12,0.833029454
8/18/2018,6423.759766,6617.350098,6353.72998,6583.430176,3984520000,190935,1.09E+11,50818346.4,6.39E+12,0.590060225
8/19/2018,6506.069824,6537.97998,6361.549805,6422.569824,3311170000,167400,1.10E+11,46054126.43,6.39E+12,0.619528076
8/20/2018,6308.529785,6536.919922,6297.930176,6500.509766,3665100000,214983,1.11E+11,47642199.75,6.39E+12,0.818181573
8/21/2018,6488.759766,6500.870117,6298.240234,6301.069824,3377180000,217777,1.11E+11,47006970.42,6.39E+12,0.779786689
8/22/2018,6376.709961,6816.790039,6310.109863,6486.25,4668110000,230333,1.13E+11,50818346.4,6.39E+12,0.774898263
8/23/2018,6534.879883,6546.540039,6371.339844,6371.339844,3426180000,217352,1.11E+11,47324585.09,6.39E+12,0.768391154
